"","Date","Cases","Diffs","day"
"1",2020-05-01,4495,5,1
"2",2020-05-02,4497,2,2
"3",2020-05-03,4505,8,3
"4",2020-05-04,4513,8,4
"5",2020-05-05,4513,0,5
"6",2020-05-06,4519,6,6
"7",2020-05-07,4522,3,7
"8",2020-05-08,4525,3,8
"9",2020-05-09,4533,8,9
"10",2020-05-10,4535,2,10
"11",2020-05-11,4540,5,11
"12",2020-05-12,4543,3,12
"13",2020-05-13,4546,3,13
"14",2020-05-14,4551,5,14
"15",2020-05-15,4555,4,15
"16",2020-05-16,4559,4,16
"17",2020-05-17,4565,6,17
"18",2020-05-18,4566,1,18
"19",2020-05-19,4566,0,19
"20",2020-05-20,4572,6,20
"21",2020-05-21,4573,1,21
"22",2020-05-22,4574,1,22
"23",2020-05-23,4579,5,23
"24",2020-05-24,4580,1,24
"25",2020-05-25,4582,2,25
"26",2020-05-26,4583,1,26
"27",2020-05-27,4587,4,27
"28",2020-05-28,4595,8,28
"29",2020-05-29,4598,3,29
"30",2020-05-30,4600,2,30
"31",2020-05-31,4602,2,31
"32",2020-06-01,4603,1,32
"33",2020-06-02,4603,0,33
"34",2020-06-03,4606,3,34
"35",2020-06-04,4607,1,35
"36",2020-06-05,4612,5,36
"37",2020-06-06,4613,1,37
"38",2020-06-07,4620,7,38
"39",2020-06-08,4625,5,39
"40",2020-06-09,4627,2,40
"41",2020-06-10,4633,6,41
"42",2020-06-11,4636,3,42
"43",2020-06-12,4640,4,43
"44",2020-06-13,4644,4,44
"45",2020-06-14,4649,5,45
"46",2020-06-15,4659,10,46
"47",2020-06-16,4661,2,47
"48",2020-06-17,4664,3,48
"49",2020-06-18,4669,5,49
"50",2020-06-19,4675,6,50
"51",2020-06-20,4683,8,51
"52",2020-06-21,4688,5,52
"53",2020-06-22,4691,3,53
"54",2020-06-23,4699,8,54
"55",2020-06-24,4700,1,55
"56",2020-06-25,4707,7,56
"57",2020-06-26,4712,5,57
"58",2020-06-27,4714,2,58
"59",2020-06-28,4717,3,59
"60",2020-06-29,4719,2,60
"61",2020-06-30,4727,8,61
"62",2020-07-01,4730,3,62
